Feature,Sub Feature,Explanation & Notes,Owner,Priority,Status,Update SatuInbox/SAPX,Launch ETA,Additional Notes
WA Blast,konfrimasi undel cabang,Scheduling wa blast sudah berjalan ,Satu Inbox,P0,Launched,,Q1 - Early February,
WA Blast,konfrimasi undel cabang,Time To closed (TTC) sudah ada,Satu Inbox,P1,Launched,,Q1 - Early February,
WA Blast,konfrimasi undel cabang,SLA sudah bisa berjalan sesuai sla yang di set,Satu Inbox,P1,Launched,,Q1 - Early February,
WA Blast,konfrimasi undel cabang,"Untuk no cabang yang akan lebih 100 awb, akan di tambah nomor wa dari satu inbox, *data sudah diberikan ke satuinbox",Satu Inbox,P0,In progress,,Q1 - Early February,
WA Blast,konfrimasi undel cabang,dashboard inbox tiket brodcast yang di gunakan bisa tampil (terkonfigurasi) jika ada  lebih dari 2 nomor,Satu Inbox,P0,In progress,,Q1 - Early February,
WA Blast,konfrimasi undel cabang,sisa no wa yang digunakan selain 100 no yg di berikan ,Satu Inbox,P0,In progress,,Q1 - Early February,
WA Blast,konfrimasi undel cabang,"dapat ditampilkan history chat sebelumnya bisa tampil, jika chat sudah sempat ditutup",Satu Inbox,P1,Launched,,Q1 - Early February,
WA Blast,konfrimasi undel cabang,"untuk konfirmasi undel, bisa di bantu untuk FRT yang diukur dimulai dari cust bales ke team agent bales ",Satu Inbox,P0,Launched,,Q1 - Early February,
WA Blast,konfrimasi undel cabang,"untuk konfirmasi undel, ART di tampilkan untuk mengukur time antar chat",Satu Inbox,P1,In progress,ART Sudah tersedia baik global maupuns spesifik agent,Q1 - Early February,
WA Blast,konfrimasi undel cabang,Untuk VN muncul bisa download,Satu Inbox,P1,In progress,On Development,Q1 - Early February,
WA Blast,konfrimasi undel cabang,Untuk time brodcast (6-21 WIB) tanya ke IT sudah confirm YES,Satu Inbox,P0,Launched,,Q1 - Early February,
WA Blast,konfrimasi undel cabang,Untuk akun login selindo v2,Satu Inbox,P0,Launched,,Q1 - Early February,
WA Blast,konfrimasi undel cabang,"Untuk dashboard all agents, dan admin melihat agen masing masing",Satu Inbox,P0,In progress,On Development,Q1 - Early February,
WA Blast,konfrimasi undel cabang,ss chat (konfrim ke IT) di cek ke API nya di IT SAPX,"SAPX - CX, SAPX - Tech",P0,In progress,,Q1 - Early February,
WA Blast,konfrimasi undel cabang,action button tutup setelah 3x blm ada chat,Satu Inbox,P0,In progress,On Development,Q1 - Mid March,
WA Blast,konfrimasi undel cabang,ada flag setelah 3x chat (cust tdk merespon),Satu Inbox,P0,In progress,On Development,Q1 - Mid March,
WA Blast,konfrimasi undel cabang,klo ke logout akan tetap diantrikan dan get open API ke IT (confirm IT untuk kesiapannya),Satu Inbox,P0,Launched,,Q1 - Early February,
WA Blast,konfrimasi undel cabang,data export tarikan report broadcast dan analytics,Satu Inbox,P0,In progress,Saat ini bisa by request akan kami kirimkan,Q1 - Early February,
WA Blast,konfrimasi undel cabang,Masih ada chat bc yang tidak berhasil terkirim,Satu Inbox,P0,In progress,,,
WA Blast,konfrimasi undel cabang,ada chat yang masuk lebih dari 3x bc,Satu Inbox,P0,In progress,,,
WA Blast,konfrimasi undel cabang,"Ada no yang invalid, namun pada chat manual wa terhubung",Satu Inbox,P0,In progress,,,